Name,Symbol,Market Cap (USD),Price (USD),Circulating Supplay (USD),Volume (24h),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,"$808,413,565,991","$43,409.05","18,623,156 BTC","$89,747,012,845",-1.12%,12.71%,28.82%
Ethereum,ETH,"$198,399,286,670","$1,731.43","114,587,100 ETH","$47,204,845,623",1.48%,9.43%,31.10%
Tether,USDT,"$28,853,019,057",$1.00,"28,771,832,458 USDT *","$150,152,800,142",0.13%,0.20%,0.26%
Cardano,ADA,"$21,525,212,749",$0.6919,"31,112,484,646 ADA","$9,840,821,484",5.36%,7.85%,99.75%
Polkadot,DOT,"$20,775,021,021",$22.88,"908,049,786 DOT *","$4,196,089,763",7.37%,14.41%,43.55%
XRP,XRP,"$20,167,565,828",$0.4442,"45,404,028,640 XRP *","$8,003,157,310",4.09%,2.90%,1.69%
Binance Coin,BNB,"$11,481,116,850",$74.30,"154,532,785 BNB *","$1,912,965,853",3.71%,7.29%,54.73%
Litecoin,LTC,"$10,743,486,867",$161.70,"66,441,792 LTC","$7,674,726,952",-0.19%,6.70%,24.86%
Dogecoin,DOGE,"$10,624,639,595",$0.08282,"128,289,785,324 DOGE","$17,001,659,749",9.19%,35.73%,110.57%
Chainlink,LINK,"$10,359,695,904",$25.55,"405,509,556 LINK *","$3,012,012,617",3.01%,5.20%,16.18%
Stellar,XLM,"$8,862,207,692",$0.3970,"22,324,933,889 XLM *","$3,236,134,826",4.66%,0.34%,25.69%
Bitcoin Cash,BCH,"$8,751,776,113",$469.28,"18,649,200 BCH","$5,650,509,193",-0.34%,3.48%,13.89%
USD Coin,USDC,"$6,488,818,612",$1.00,"6,486,766,189 USDC *","$2,004,285,280",0.02%,0.05%,0.06%
Aave,AAVE,"$6,342,047,847",$513.39,"12,353,310 AAVE *","$1,830,259,165",5.96%,17.77%,76.60%
Uniswap,UNI,"$5,917,999,908",$19.66,"300,948,340 UNI *","$1,110,300,991",3.63%,7.59%,7.73%
Wrapped Bitcoin,WBTC,"$5,305,939,073","$43,625.29","121,625 WBTC *","$306,279,515",-0.61%,13.28%,29.18%
Bitcoin SV,BSV,"$3,538,812,909",$189.78,"18,647,333 BSV","$965,415,506",0.47%,2.21%,6.79%
EOS,EOS,"$3,350,321,432",$3.53,"950,368,954 EOS *","$5,577,825,152",2.10%,1.14%,17.18%
Elrond,EGLD,"$3,048,988,357",$180.33,"16,907,819 EGLD *","$1,226,990,552",12.33%,50.46%,190.65%
Cosmos,ATOM,"$2,985,712,364",$14.21,"210,062,226 ATOM *","$1,701,420,400",4.81%,9.40%,77.85%
NEM,XEM,"$2,839,717,570",$0.3155,"8,999,999,999 XEM *","$390,313,769",2.93%,11.49%,28.28%
